,input,output
10,"['Horror', 'Thriller']","Summary: The lives of a couple turn into a nightmare  as dark forces lie in wait beneath the shadows of the haunted bungalow in which they have decided to stay.['Ali Asgar', 'Vivan Bhatena', 'Nargis Fakhri', 'Sachiin Joshi', 'Shabnam Karimzada', 'Kevin Matadeen', '']"
11,"['Drama', 'Music']","Summary: A coming-of-age story based on the lives of street rappers in Mumbai.['Ranveer Singh', 'Alia Bhatt', 'Siddhant Chaturvedi', 'Vijay Raaz', 'Amruta Subhash', 'Vijay Varma', 'Kalki Koechlin', 'Ikhlaque Khan', 'Sheeba Chaddha', 'Jyoti Subhash', 'Rahul Piske', 'Nakul Sachdeva', 'Shruti Chauhan', 'Aishwarya Desai', '']"
12,['Drama'],"Summary: The story of the film revolves around four college friends went their own direction in life  but remained inseparable from each other.['Prit Kamani', 'Simran Sharma', 'Anshuman Malhotra', 'Tushar Pandey', 'Vibha Anand', 'Jatin Goswami', 'Jagat Rawat', 'Sonal Jha', 'Shailesh Datar', 'Jayshankar Tripathi', 'Alok Pandey', 'Sushant Mohindru', 'Shahnawaz Pradhan', 'Amit Kumar Jha', '']"
13,"['Action', 'Adventure', 'Comedy']","Summary: A group of people learn about a hidden treasure and then they race to find it and claim it.['Ajay Devgn', 'Madhuri Dixit', 'Anil Kapoor', 'Riteish Deshmukh', 'Arshad Warsi', 'Javed Jaffrey', 'Esha Gupta', 'Boman Irani', 'Sanjay Mishra', 'Vijay Patkar', 'Pitobash', 'Mahesh Manjrekar', 'Ali', '']"
14,"['Action', 'Crime', 'Drama']","Summary: Set in the Chambal valley  the film follows the story of a legion of dreaded  warring dacoits who once terrorized the Indian heartlands.['Sushant Singh Rajput', 'Bhumi Pednekar', 'Manoj Bajpayee', 'Ranvir Shorey', 'Ashutosh Rana', 'Gagandev Riar', '']"
15,"['Crime', 'Drama', 'Mystery']","Summary: A dynamic young entrepreneur finds herself locked in a hotel room with the corpse of her dead lover. She hires a prestigious lawyer to defend her and they work together to figure out what actually happened.['Amitabh Bachchan', 'Taapsee Pannu', 'Amrita Singh', 'Antonio Aakeel', 'Tony Luke', 'Tanveer Ghani', 'Tariqsafdar Hussain', 'Mark Mansfield', '']"
16,"['Action', 'Comedy']","Summary: It is a story of a young boy Surya who has a rare condition of Congenital Insensitivity to pain meaning he can not feel pain  and he sets out to learn martial arts and hunt down muggers.['Abhimanyu Dasani', 'Radhika Madan', 'Prateek Parmar', 'Satyajit Ganu', '']"
17,['Drama'],"Summary: Eight year-old Hamid learns that 786 is God's number and decides to try and reach out to God  by dialing this number. He wants to talk to his father  who his mother tells him has gone to Allah. One fine day the phone call is answered.['Talha Arshad Reshi', 'Vikas Kumar', 'Rasika Dugal', 'Sumit Kaul', 'Bashir Lone', 'Gurveer Singh', 'Ashraf Nagoo', 'Mir Sarwar', 'Qazi Faiz', 'Umar Adil', '']"
18,"['Drama', 'Romance']","Summary: A struggling street photographer in Mumbai  pressured to marry by his grandmother  convinces a shy stranger to pose as his fiancée. The pair develop a connection that transforms them in ways they could not expect.['Nawazuddin Siddiqui', 'Sanya Malhotra', 'Sachin Khedekar', 'Denzil Smith', 'Brinda Trivedi', 'Lubna Salim', 'Rajesh Kumar Sharma', 'Shihaan Bakshi', 'Akash Sinha', 'Seema Pravin Shende', 'Robin Das', 'Bhagwan Das Patel', 'Ashok Pathak', 'Amarjeet Singh', '']"
19,['Thriller'],"Summary: Sher Singh is the Sarpanch of his village. Whose same order for all  that whoever loves  will get the death punishment only. In this way Sher Singh has killed so many boys and girls  who ...                    ['Garima Agarwal', 'Anupama', 'Parveen Bansala', 'Mahaveer Singh Fauji', 'Javed Haider', 'Shahbaaz Khan', 'Sachin Khari', 'Pramod Moutho', 'Aarun Nagar', 'Khyati Sharma', 'Ravi Sharma', 'Shashikant Sharma', '']"
20,['Drama'],"Summary: A story about four children living in a Mumbai slum in India. An eight-year old Kanhu writes a letter to the Prime Minister after a dramatic incident with his mother. A small boy has to achieve the impossible.['Rasika Agashe', 'Sonia Albizuri', 'Syna Anand', 'Adarsh Bharti', 'Makrand Deshpande', 'Om Kanojiya', 'Atul Kulkarni', 'Anjali Patil', 'Prasad', 'Nachiket Purnapatre', 'Niteesh Wadhwa', '']"
21,['Sport'],"Summary: A dramatic portrayal of a victorious tale of a fallen cricket agent and a young cricketer.['Barun Sobti', 'Rajit Kapur', 'Panchhi Bora', 'Kartikey Tripathi', '']"
22,"['Action', 'Drama', 'History']","Summary: Based on an incredible true story of the Battle of Saragarhi in which an army of 21 Sikhs fought against 10 000 Afghans in 1897.['Akshay Kumar', 'Parineeti Chopra', 'Suvinder Vicky', 'Vansh Bhardwaj', 'Sumeet Basran', 'Ajit Singh', 'Sandeep Nahar', 'Harwinder Singh Aujla', 'Rakesh Sharma', 'Adhrit Sharma', 'Vivek Saini', 'Harbhagwan Singh', 'Rajdeep Singh Dhaliwal', 'Gurpreet Toti', '']"
23,"['Drama', 'Romance']","Summary: An ex-army officer  Kabir  becomes a teacher in Kashmir in a school that is in a miserable condition. Things take a turn when Kabir finds a notebook  left behind by the previous year's teacher Firdaus (Pranutan Bahl).['Zaheer Iqbal', 'Pranutan Bahl', 'Mir Mohammed Mehroos', 'Mir Mohammed Zayan', 'Soliha Maqbool', 'Baba Hatim', 'Adiba Bhat', 'Hafsa Ashraf', 'Madikha', 'Bareen', 'Mozim Bhat', 'Mir Sarwar', 'Hemant Kher', 'Shrysh Zutshi', '']"
24,"['Action', 'Adventure']","Summary: The story revolves around a vet  who on his homecoming to his father's elephant reserve  encounters and fights an international poachers racket.['Vidyut Jammwal', 'Lars Kjeldsen', '']"
25,['Drama'],"Summary: Enakshi is diagnosed with Alopecia  where she begins to lose hair from her scalp. Although she finds her temporary fix to this  it begins to steal previous years of her youth and takes her life by a storm. Will she be able to find a cure?['Deepika Amin', 'Kumar Kanchan Ghosh', 'Brijendra Kala', 'Jitendra Kumar', 'Mukesh Pandey', 'Santosh Rai', 'Vipin Sharma', '']"
26,['Drama'],"Summary: Albert Pinto goes missing one day and his girlfriend and family start making rounds at the police station to track him down. Unknown to them  he is on his way to Goa to carry out his first assignment as a hitman.['Manav Kaul', 'Nandita Das', '']"
27,"['Drama', 'Mystery', 'Thriller']","Summary: The Tashkent Files is a thriller that revolves around the mysterious death of India's 2nd Prime Minister Shri Lal Bahadur Shastri and attempts to uncover if he had actually died a natural death  or  as alleged  was assassinated.['Naseeruddin Shah', 'Mithun Chakraborty', 'Shweta Basu Prasad', 'Pankaj Tripathi', 'Vinay Pathak', 'Mandira Bedi', 'Rajesh Sharma', 'Prakash Belawadi', 'Ankur Rathee', '']"
28,"['Drama', 'Romance']","Summary: The lives of six enigmatic characters become entangled whilst in search of love  but separated by the dichotomy between the two worlds of Husnabad  a town in North India.['Varun Dhawan', 'Alia Bhatt', 'Aditya Roy Kapoor', 'Madhuri Dixit', 'Sonakshi Sinha', 'Sanjay Dutt', 'Kunal Khemu', 'Pawan Chopra', '']"
29,['Thriller'],"Summary: A thriller set in Benares  Jaipur  Mumbai and Delhi  Setters is about a racket profiteering from academic scams. The film follows a cat-and-mouse game between two good friends: one a cop  ...                    ['Shreyas Talpade', 'Aftab Shivdasani', 'Sonnalli Seygall', 'Ishita Dutta', 'Pavan Malhotra', 'Vijay Raaz', 'Manu Rishi Chadha', 'Anil Charanjeett', 'Pankaj Jha', 'Jameel Khan', 'Niharika Kundu', 'Tanuka Laghate', 'Venus Singh', 'Neeraj Sood', '']"
30,"['Drama', 'Romance', 'Sport']","Summary: A student must face off against bullies and overcome hurdles  both academic and romantic  to win his college's coveted Student of the Year trophy.['Tiger Shroff', 'Ananya Panday', 'Tara Sutaria', 'Aditya Seal', 'Manoj Pahwa', 'Ayesha Raza', 'Rajesh Kumar', 'Manasi Joshi Roy', 'Samir Soni', 'Gul Panag', 'Manjot Singh', 'Sahil Anand', 'Harsh Beniwal', 'Daljeet Singh Gujral', '']"
31,"['Biography', 'Drama']","Summary: Biography of India's Prime Minister Shri Narendra Modi.['Boman Irani', 'Vivek Oberoi', 'Barkha Bisht', 'Darshan Kumaar', 'Zarina Wahab', 'Manoj Joshi', 'Suresh Oberoi', 'Prashant Narayanan', 'Yatin Karyekar', 'Rajendra Gupta', 'Anjan Srivastav', 'Imran Hasnee', 'Jay Bhatt', 'Akshat R Saluja', '']"
32,"['Comedy', 'Romance']","Summary: A 50-year-old single father faces disapproval from his family and his ex-wife when he falls in love with a 26-year-old woman.['Ajay Devgn', 'Tabu', 'Rakul Preet Singh', 'Jimmy Sheirgill', 'Alok Nath', 'Madhumalti Kapoor', 'Harry Anton', 'Gergo Baranyi', 'Sammy John Heaney', 'Bhavin Bhanushali', 'Gandharv Dewan', 'Gulnaaz Khan', 'Kumud Mishra', 'Sunny Singh Nijjar', '']"
33,"['Action', 'Thriller']","Summary: A group of intelligence officers embark on a top secret mission to track down a wanted international criminal.['Arjun Kapoor', 'Sudev Nair', 'Rajesh Sharma', 'Prasanth', 'Santilal Mukherjee', '']"
34,"['Action', 'Adventure', 'Drama']","Summary: Yeh Hai India  follows the story of a 25 years old NRI  who is born and brought up in UK. He shares the same stereotypical views about India that most NRIs have and how his perception changes.['Gavie Chahal', 'Mohan Agashe', 'Mohan Joshi', 'Lom Harsh', '']"
35,"['Horror', 'Thriller']","Summary: A remake of an English movie Hush (2016)  where a deaf and mute girl must fight for her life when a killer appears at her door.['Prabhu Deva', 'Tamannaah Bhatia', 'Bhoomika Chawla', '']"
36,"['Drama', 'Romance']","Summary: Kabir Singh is a remake of a Telugu movie Arjun Reddy (2017)  where a short-tempered house surgeon gets used to drugs and drinks when his girlfriend is forced to marry another person.['Shahid Kapoor', 'Kiara Advani', 'Soham Majumdar', 'Arjan Bajwa', 'Suresh Oberoi', 'Kamini Kaushal', 'Adil Hussain', 'Nikita Dutta', 'Amit Sharma', 'Anurag Arora', 'Dolly Mattoo', 'Aanchal Chauhan', 'Suparna Marwah', 'Swati Seth', '']"
37,"['Crime', 'Drama']","Summary: In the rural heartlands of India  an upright police officer sets out on a crusade against violent caste-based crimes and discrimination.['Ayushmann Khurrana', 'Nassar', 'Manoj Pahwa', 'Kumud Mishra', 'Isha Talwar', 'Sayani Gupta', 'Mohammed Zeeshan Ayyub', 'Subhrajyoti Barat', 'Sushil Pandey', 'Aakash Dabhade', 'Ashish Verma', 'Ronjini Chakraborty', 'Veen', 'Sumbul Touqueer', '']"
38,"['Action', 'Crime', 'Thriller']","Summary: A Crime Branch Special Officer Investigates the Serial disappearance of high profile individuals in a state capital.['Anupam Kher', 'Kumud Mishra', 'Esha Gupta', 'Zakir Hussain', 'Rajesh Sharma', 'Murli Sharma', 'Deepshika Nagpal', '']"
39,"['Action', 'Drama', 'Romance']","Summary: It is about limerence of Dhruv (played by Bohra) resulting from an obsessive attraction to Ananya (played by Banerjee).['Karanvir Bohra', 'Priya Banerjee', '']"
40,"['Biography', 'Drama']","Summary: Based on life of Patna-based mathematician Anand Kumar who runs the famed Super 30 program for IIT aspirants in Patna.['Hrithik Roshan', 'Mrunal Thakur', 'Nandish Singh', 'Virendra Saxena', 'Sadhana Singh', 'Aditya Srivastava', 'Sanket Deshpande', 'Pankaj Tripathi', 'Vaibhav Gupta', 'Ali Haji', 'Rajesh Sharma', 'Deepali Kumar', 'Chittaranjan Giri', 'Ganesh Kumar', '']"
41,"['Action', 'Drama']","Summary: The film is based on small town of North India. Film's story is about confrontation of love and thoughts. Along with entertainment.['Jimmy Sheirgill', 'Mahie Gill', 'Nandish Singh', 'Pranati Rai Prakash', 'Saurabh Shukla', 'Sudhir Pandey', 'Supriya Pilgaonkar', 'Pavan Malhotra', 'Yashpal Sharma', 'Mukesh Tiwari', 'Raj Zutshi', 'Salil Acharya', 'Shivika Rishi', 'Lokesh Tilakdhari', '']"
42,"['Action', 'Drama', 'Thriller']","Summary: After a deadly encounter  a police officer works to prove that the police acted lawfully.['John Abraham', 'Nora Fatehi', 'Mrunal Thakur', 'Rajesh Sharma', 'Ravi Kishan', 'Sonam Arora', 'Sahidur Rahaman', 'Manish Chaudhary', 'Anil Rastogi', 'Kranti Prakash Jha', 'Amruta Sant', 'Anil Khopkar', 'Aditi Gulati', 'Jitendra Trehan', '']"
43,['Comedy'],"Summary: Two boys go to Mauritius to study and love it so much there  that they are reluctant to return home. Rishi plays Omkar's dad who turns up from the village to surprise him and is in turn surprised by his son's lifestyle.['Rishi Kapoor', 'Jimmy Sheirgill', 'Sunny Singh Nijjar', 'Omkar Kapoor', 'Nimisha Mehta', 'Rucha Vaidya', 'Manoj Joshi', 'Lillete Dubey', 'Rajesh Sharma', 'Gurbachan Singh', 'Rakesh Bedi', 'Neelu Kohli', 'Shobha Singh', 'Sunny Leone', '']"
44,"['Comedy', 'Drama', 'Thriller']","Summary: Following the story of two quirky individuals whose lives pivot between reality and illusions.['Kangana Ranaut', 'Rajkummar Rao', 'Amyra Dastur', 'Amrita Puri', 'Jimmy Sheirgill', '']"
45,['Drama'],"Summary: An ambitious and innocent girl falls prey to the power of money and politics.['Natalia Janoszek', 'Ashutosh Rana', 'Makrand Deshpande', 'Nivedita Bhattacharya', 'Mukesh Hariawala', 'Zakir Hussain', 'Aman Verma', '']"
46,"['Action', 'Comedy']","Summary: This spoof comedy narrates the story of a cop Arjun Patiala (Diljit Dosanjh) and his sidekick Onidda Singh (Varun Sharma). Together  will they be able to accomplish their mission of a crime-free town with their goofy style of policing?['Diljit Dosanjh', 'Kriti Sanon', 'Varun Sharma', 'Ronit Roy', 'Seema Bhargava', 'Mohammed Zeeshan Ayyub', 'Amit Mehra', '']"
47,"['Action', 'Comedy', 'Drama']","Summary: A thug helps kidnap grooms in order to avoid paying out dowries for their upcoming marriage.['Sidharth Malhotra', 'Parineeti Chopra', 'Javed Jaffrey', 'Sanjay Mishra', 'Aparshakti Khurana', '']"
48,"['Action', 'Crime', 'Drama']","Summary: A peon's son who is an aspiring IAS officer is compelled to change his path leading him to turn into a gangster.['Rajeev Khandelwal', 'Atul Kulkarni', 'Abhimanyu Singh', 'Sameksha', 'Vikram Gokhale', 'Aniruddh Dave', 'Apoorva Arora', 'S.M. Zaheer', '']"
49,"['Drama', 'Family', 'Romance']","Summary: It is based on the love story of a couple spanning 25 years  told through the lens of their spunky teenage daughter Aisha Chaudhary  who was diagnosed with a Pulmonary fibrosis .['Zaira Wasim', 'Priyanka Chopra', 'Farhan Akhtar', 'Rohit Saraf', '']"
50,"['Drama', 'History']","Summary: Based on true events of the Indian Space Research Organisation (ISRO) successfully launching the Mars Orbiter Mission (Mangalyaan)  making it the least expensive mission to Mars.['Akshay Kumar', 'Vidya Balan', 'Nithya Menon', 'Taapsee Pannu', 'Sonakshi Sinha', 'Kirti Kulhari', 'H.G. Dattatreya', 'Sharman Joshi', 'Sanjay Kapoor', 'Dalip Tahil', 'Vikram Gokhale', 'Mohammed Zeeshan Ayyub', 'Purab Kohli', '']"
51,"['Action', 'Thriller']","Summary: An undercover cop becomes embroiled in a battle with warring criminals who want to acquire a ""black box "" their ultimate key to a treasure.['Jacqueline Fernandez', 'Shraddha Kapoor', 'Prabhas', 'Jackie Shroff', 'Mandira Bedi', 'Neil Nitin Mukesh', 'Chunky Pandey', 'Arun Vijay', 'Mahesh Manjrekar', 'Evelyn Sharma', 'Tinnu Anand', 'Michael Segal', 'Philip Fornah', 'Vennela Kishore', '']"
52,"['Comedy', 'Romance']","Summary: Rom-com Movie  directed by Raaj Shaandilyaa  stars Ayushmann Khurrana who plays a 'dream girl'. In every love story  there is always one trying to win the heart of the other  who could be the 'dream girl'.['Ayushmann Khurrana', 'Nushrat Bharucha', 'Annu Kapoor', 'Raj Bhansali', 'Manjot Singh', '']"
53,"['Crime', 'Drama']","Summary: A celebrated Bollywood director Rohan Khurana stands accused by a female member of his crew  Anjali Dangle of having raped her at his residence.['Akshaye Khanna', 'Richa Chadha', 'Meera Chopra', 'Rahul Bhat', 'Shriswara', 'Kishore Kadam', 'Kruttika Desai', 'Sandhya Mridul', 'Shrikant Yadav', 'Vibhawari Deshpande', 'Shama Nivane', 'Rajendra Shisatkar', 'Annuup Choudhari', 'Shahnaaz Deshpande', '']"
54,"['Comedy', 'Drama', 'Romance']","Summary: Based Anuja Chauhan's novel  Zoya Factor is a rom-com about Zoya  an advertising agent and her relationship with the captain of team India  Nikhil Khoda.['Sonam Kapoor', 'Dulquer Salmaan', 'Sanjay Kapoor', '']"
55,"['Action', 'Drama', 'Romance']","Summary: When video blogger Saher Sethi embarks on a tedious trek with mountaineer Karan Sehgal  sparks are bound to fly. But will their love story blossom despite the odds?['Karan Deol', 'Sahher Bambba', 'Simone Singh', 'Sachin Khedekar', '']"
56,"['Action', 'Drama']","Summary: A rural politician marries a widow with kids and gains a respectable position and trusts his stepson more than his own in political matters; thus upsetting his son beyond limits.['Sanjay Dutt', 'Jackie Shroff', 'Ali Fazal', 'Manisha Koirala', 'Chunky Pandey', 'Satyajeet Dubey', 'Amyra Dastur', '']"
57,"['Crime', 'Drama', 'Romance']","Summary: High-school sweethearts Suraj Maali and Janvi Singh are well aware of their diverse socio-economic backgrounds and so  the young lovers opt for marriage by elopement. This  in turn  conjures up a storm the couple isn't prepared for.['Bhavesh Kumar', 'Jimmy Sheirgill', 'Kumud Mishra', 'Sanjay Mishra', 'Girish Kulkarni', 'Zakir Hussain', 'Brijendra Kala', 'Akhilendra Mishra', 'Asif Basra', 'Neha Joshi', '']"
58,"['Horror', 'Thriller']","Summary: The story of the film follows Karan Khanna  a politician of Indian origin in the United Kingdom  who is accused of killing his wife. He tells his lawyer that a spirit committed the murder and should be tried.['Sanaya Irani', 'Shivam Bhaargava', 'Vikram Bhatt', 'Ameet Chana', 'Ananya Sengupta', 'Caroline Wilde', 'Monisha Hassen', '']"
59,['Comedy'],"Summary: It tells the story of a man who is balding prematurely and how he copes up with the situation.['Ayushmann Khurrana', 'Bhumi Pednekar', 'Yami Gautam', 'Javed Jaffrey', 'Saurabh Shukla', 'Sunita Rajwar', 'Seema Bhargava', 'Abhishek Banerjee', 'Deepika Chikhalia', 'Manoj Pahwa', 'Sachin Chaudhary', '']"
60,"['Comedy', 'Romance']","Summary: All set for an arranged marriage  Rohit Bajaj is faced with a rather strange request from his Muslim friend Sahil. As per halala  he convinces Rohit to get hitched to his ex-wife  just for ...                    ['Siddhanth Kapoor', 'Prateik', 'Anita Raj', 'Ishita Raj', 'Subha Rajput', 'Natasha Stankovic', '']"
61,"['Action', 'Comedy', 'Fantasy']","Summary: A set of three brothers are due to marry a set of three sisters  until one of the brothers starts to realize that they are all reincarnations from 600 years earlier and the wrong couples are about to get married.['Akshay Kumar', 'Riteish Deshmukh', 'Bobby Deol', 'Kriti Sanon', 'Pooja Hegde', 'Kriti Kharbanda', 'Rana Daggubati', 'Sammy John Heaney', 'Sharad Kelkar', 'Aakash Dabhade', 'Chunky Pandey', 'Ranjeet', 'Johnny Lever', 'Saurabh Sachdeva', '']"
62,"['Biography', 'Drama']","Summary: Both over the age of 60  Chandro Tomar and Prakashi Tomar inspire other women in India when they demonstrate their expert sharpshooting skills.['Taapsee Pannu', 'Bhumi Pednekar', 'Prakash Jha', 'Viineet Kumar', 'Pawan Chopra', '']"
63,"['Comedy', 'Drama']","Summary: Story of Failed Gujarati Businessman  who jumps into unknown world of China to get once in a life time business idea  which will change his life.['Rajkummar Rao', 'Mouni Roy', 'Boman Irani', 'Paresh Rawal', 'Gajraj Rao', 'Sumeet Vyas', 'Amyra Dastur', '']"
64,['Comedy'],"Summary: Ujda Chaman is about a 30 -year-old bachelor Chaman Kohli  a Hindi lecturer with Premature Balding and in quest of a beautiful wife. After facing several rejections as a prospective groom ...                    ['Sunny Singh Nijjar', 'Maanvi Gagroo', 'Saurabh Shukla', 'Atul Kumar', 'Grusha Kapoor', 'Gagan Arora', 'Karishma Sharma', '']"
65,"['Drama', 'Thriller']","Summary: The Story revolves around a young man Vikram (Neil Nitin Mukesh) who is a fashion prodigy. The story is layered with a murder in town.['Neil Nitin Mukesh', 'Adah Sharma', 'Gul Panag', 'Taher Shabbir', 'Shama Sikander', 'Manish Chaudhary', 'Rajit Kapoor', '']"
66,"['Action', 'Drama']","Summary: The extraordinary journey of a soldier that brought a nation together. It stars Sooraj Pancholi and Megha Akash in the lead roles and is directed by Irfan Kamal.['Suraj Pancholi', 'Anil Reji', '']"
67,['Drama'],"Summary: A life-altering disappearance of her 7-year old brother sets Jhalki off on a mission to find him at all costs. Armed with an intimate folk-tale and her own sharp mind  is Jhalki's journey ...                    ['Boman Irani', 'Tannishtha Chatterjee', 'Divya Dutta', 'Sanjay Suri', 'Akhilendra Mishra', 'Govind Namdeo', 'Yatin Karyekar', 'Joy Sengupta', 'Sailesh Dubey', 'Bachan Pachehra', 'Sanchita Goswami', 'Goraksha Sakpal', 'Vikram Singh', 'Aarti Jha', '']"
68,"['Action', 'Romance']","Summary: Marjaavaan is an upcoming Indian action romance film directed by Milap Zaveri starring Ritesh Deshmukh  Sidharth Malhotra  Tara Sutaria and Rakul Preet Singh. The co producer of the film ...                    ['Riteish Deshmukh', 'Sidharth Malhotra', 'Tara Sutaria', 'Rakul Preet Singh', '']"
69,"['Comedy', 'Romance']","Summary: A hilarious story of a 36-year-old jobless man Pushpender  trying to find a wife and Anita who's also looking for a husband. But there's a catch - Anita wants to settle abroad after marriage.['Nawazuddin Siddiqui', 'Athiya Shetty', 'Vibha Chhibber', 'Sanjeev Vatsa', 'Bhumika Dube', 'Devansh Kumar', '']"
70,"['Action', 'Thriller']","Summary: Keep Safe Distance is an upcoming Indian thriller film directed by Rama Mehra and produced by vishnu dhanraj sharma and mahesh sharma under the rama dhanraj production['Shahbaaz Khan', 'Adi Irani', 'Vikas Anand', 'Kiran Kumar', 'Anil Nagrath', 'Sagarika Neha', 'Laxman Singh Rajput', 'Pradeep Kabra', 'Shilpa Gandhi', 'Jai Yadav', 'Abhishek Khanna', 'Vishnu Dhanraj Sharma', '']"
71,"['Action', 'Comedy']","Summary: A tourist group from India sets out on a vacation to only have their trip to turn into a patriotic mission. Will it end well for them?['Kriti Kharbanda', 'John Abraham', ""Ileana D'Cruz"", 'Anil Kapoor', 'Urvashi Rautela', 'Jamie-Lee Beacher', 'Atul Sharma', 'Saurabh Shukla', 'Arshad Warsi', 'Sammy John Heaney', 'Vaunisha Kapoor', 'Pulkit Samrat', 'Simran Kaur', 'Manoj Anand', '']"
72,"['Comedy', 'Drama']","Summary: Add a Plot »['Naseeruddin Shah', 'Vikrant Massey', 'Konkona Sen Sharma', 'Vinay Pathak', 'Manoj Pahwa', 'Parambrata Chattopadhyay', 'Supriya Pathak', 'Deepika Amin', 'Vineet Kumar', 'Sarika Singh', '']"
73,['Thriller'],"Summary: Add a Plot »['Vardhan Puri', 'Jessey Lever', '']"
74,"['Drama', 'Romance']","Summary: A love story about two cancer patients.['Sushant Singh Rajput', 'Sanjana Sanghi', 'Sahil Vaid', '']"
75,"['Comedy', 'Romance']","Summary: Chintu Tyagi is an ordinary  middle class man who finds himself torn between his wife and another woman.['Kartik Aaryan', 'Bhumi Pednekar', 'Ananya Panday', 'Aparshakti Khurana', '']"
76,"['Action', 'Thriller']","Summary: Commando 3 is a Hindi movie starring Vidyut Jammwal  Adah Sharma  Angira Dhar and Gulshan Devaiah in prominent roles. It is an action drama thriller directed by Aditya Datt.['Vidyut Jammwal', 'Adah Sharma', 'Angira Dhar', 'Sumeet Thakur', 'Mark Bennington', 'Simran Kaur', 'Atharva Vishwakarma', 'Abhilash Chaudhary', 'Feryna Wazheir', '']"
